Occupations,noc_5,TOTAL_WITH_EMP_INC,AVG_EMP_INC,aioe,caioe,groupmean,noc_title,exposure_level,comp_level,quadrant,label,noc_2,noc_1
00018 Seniors managers - public and private sector,00018,16460,287513.54799514,6.5700128356,4.128924831,0.7198175926,Seniors managers - public and private sector,High Exposure,High Complementarity,HE-HC,Cadres supérieurs,00,0
10010 Financial managers,10010,13855,146756.586070011,6.647188027,4.664204772,0.646759259,Financial managers,High Exposure,High Complementarity,HE-HC,,10,1
10011 Human resources managers,10011,2680,134020.52238806,6.62976422,4.44562523,0.677777778,Human resources managers,High Exposure,High Complementarity,HE-HC,,10,1
10012 Purchasing managers,10012,715,107586.013986014,6.687508505,4.779745588,0.633611111,Purchasing managers,High Exposure,High Complementarity,HE-HC,,10,1
10019 Other administrative services managers,10019,365,190342.465753425,6.524487672,4.826234238,0.608888889,Other administrative services managers,High Exposure,Low Complementarity,HE-LC,Gestionnaires des services administratifs,10,1
"10020 Insurance, real estate and financial brokerage managers",10020,24100,139274.647302905,6.623038024,4.76227683,0.629513889,"Insurance, real estate and financial brokerage managers",High Exposure,High Complementarity,HE-HC,Gestionnaires en assurances et en finances,10,1
"10021 Banking, credit and other investment managers",10021,58055,132014.882439066,6.672870348,4.688521475,0.645694444,"Banking, credit and other investment managers",High Exposure,High Complementarity,HE-HC,,10,1
"10022 Advertising, marketing and public relations managers",10022,4505,111406.770255272,6.629146986,4.878815906,0.612555556,"Advertising, marketing and public relations managers",High Exposure,Low Complementarity,HE-LC,,10,1
10029 Other business services managers,10029,920,99478.2608695652,6.478557879,4.484214383,0.65712963,Other business services managers,High Exposure,High Complementarity,HE-HC,,10,1
10030 Telecommunication carriers managers,10030,15,120000,6.233941817,4.722210926,0.590833333,Telecommunication carriers managers,High Exposure,Low Complementarity,HE-LC,,10,1
11100 Financial auditors and accountants,11100,15370,109739.134677944,6.705747841,5.206268115,0.571944444,Financial auditors and accountants,High Exposure,Low Complementarity,HE-LC,Vérificateurs et comptables,11,1
11101 Financial and investment analysts,11101,35090,169767.854089484,6.656898,0.858514833,0.6335,Financial and investment analysts,High Exposure,High Complementarity,HE-HC,,11,1
11102 Financial advisors,11102,82485,106629.835727708,6.679859123,5.284510773,0.557222222,Financial advisors,High Exposure,Low Complementarity,HE-LC,Conseillers financiers,11,1
"11103 Securities agents, investment dealers and brokers",11103,12600,138455.079365079,6.668288733,5.027148784,0.594444444,"Securities agents, investment dealers and brokers",High Exposure,Low Complementarity,HE-LC,,11,1
11109 Other financial officers,11109,24105,77652.364654636,6.650237614,5.107442807,0.580388889,Other financial officers,High Exposure,Low Complementarity,HE-LC,,11,1
11200 Human resources professionals,11200,8650,85310.8092485549,6.649056518,4.873566936,0.615509259,Human resources professionals,High Exposure,High Complementarity,HE-HC,Professionnels des ressources humaines,11,1
11201 Professional occupations in business management consulting,11201,11845,84995.6099620093,6.559356224,5.002595668,0.585555556,Professional occupations in business management consulting,High Exposure,Low Complementarity,HE-LC,,11,1
